,feature,mean,min,max
0,ExternalRiskEstimate,67.42575772062338,-9.0,94.0
1,MSinceOldestTradeOpen,184.20537336265417,-9.0,803.0
2,MSinceMostRecentTradeOpen,8.543455397265513,-9.0,383.0
3,AverageMInFile,73.8432928578258,-9.0,383.0
4,NumSatisfactoryTrades,19.42805239506645,-9.0,79.0
5,NumTrades60Ever2DerogPubRec,0.04273831150205565,-9.0,19.0
6,NumTrades90Ever2DerogPubRec,-0.14284348408069605,-9.0,19.0
7,PercentTradesNeverDelq,86.66153551964815,-9.0,100.0
8,MSinceMostRecentDelq,6.762405583707811,-9.0,83.0
9,MaxDelq2PublicRecLast12M,4.928291423654269,-9.0,9.0
10,MaxDelqEver,5.510182617841094,-9.0,8.0
11,NumTotalTrades,20.856965293049047,-9.0,104.0
12,NumTradesOpeninLast12M,1.2530834687828665,-9.0,19.0
13,PercentInstallTrades,32.166459508557224,-9.0,100.0
14,MSinceMostRecentInqexcl7days,-0.32536571373936324,-9.0,24.0
15,NumInqLast6M,0.8681518309589827,-9.0,66.0
16,NumInqLast6Mexcl7days,0.8126015871498231,-9.0,66.0
17,NetFractionRevolvingBurden,31.629888134620902,-9.0,232.0
18,NetFractionInstallBurden,39.15890620518214,-9.0,471.0
19,NumRevolvingTradesWBalance,3.1850081269719857,-9.0,32.0
20,NumInstallTradesWBalance,0.9760971412180897,-9.0,23.0
21,NumBank2NatlTradesWHighUtilization,0.0180705612391242,-9.0,18.0
22,PercentTradesWBalance,62.07916626828569,-9.0,100.0
